"nav","nav_date","fund_name","daily_return"
66.65,2021-06-14,"Axis Mid Cap",0.00210494662456774
67.22,2021-06-15,"Axis Mid Cap",0.00855213803450852
66.84,2021-06-16,"Axis Mid Cap",-0.0056530794406426
66.76,2021-06-17,"Axis Mid Cap",-0.00119688809096347
66.46,2021-06-18,"Axis Mid Cap",-0.00449370880766943
66.65,2021-06-21,"Axis Mid Cap",0.00285886247366855
66.65,2021-06-22,"Axis Mid Cap",0
66.45,2021-06-23,"Axis Mid Cap",-0.00300075018754693
66.74,2021-06-24,"Axis Mid Cap",0.00436418359668912
67.04,2021-06-25,"Axis Mid Cap",0.00449505543901725
67.46,2021-06-28,"Axis Mid Cap",0.00626491646778024
67.16,2021-06-29,"Axis Mid Cap",-0.00444707975096349
67.53,2021-06-30,"Axis Mid Cap",0.00550923168552717
67.6,2021-07-01,"Axis Mid Cap",0.00103657633644296
68.09,2021-07-02,"Axis Mid Cap",0.00724852071005931
68.26,2021-07-05,"Axis Mid Cap",0.00249669555000737
68.55,2021-07-06,"Axis Mid Cap",0.00424846176384401
68.67,2021-07-07,"Axis Mid Cap",0.00175054704595193
68.56,2021-07-08,"Axis Mid Cap",-0.00160186398718508
68.6,2021-07-09,"Axis Mid Cap",0.000583430571761844
68.72,2021-07-12,"Axis Mid Cap",0.00174927113702631
68.92,2021-07-13,"Axis Mid Cap",0.00291036088474975
69.49,2021-07-14,"Axis Mid Cap",0.00827045850261162
69.71,2021-07-15,"Axis Mid Cap",0.00316592315441069
69.7,2021-07-16,"Axis Mid Cap",-0.000143451441686859
69.43,2021-07-19,"Axis Mid Cap",-0.00387374461979908
69.02,2021-07-20,"Axis Mid Cap",-0.00590522828748395
69.76,2021-07-22,"Axis Mid Cap",0.010721529991307
69.87,2021-07-23,"Axis Mid Cap",0.00157683486238531
70.11,2021-07-26,"Axis Mid Cap",0.00343495062258473
69.77,2021-07-27,"Axis Mid Cap",-0.00484952217943237
69.71,2021-07-28,"Axis Mid Cap",-0.000859968467822879
70.43,2021-07-29,"Axis Mid Cap",0.0103285038014634
70.75,2021-07-30,"Axis Mid Cap",0.00454351838705088
71.94,2021-08-02,"Axis Mid Cap",0.0168197879858657
72.07,2021-08-03,"Axis Mid Cap",0.0018070614400889
71.54,2021-08-04,"Axis Mid Cap",-0.00735396142639083
71.67,2021-08-05,"Axis Mid Cap",0.00181716522225322
71.5,2021-08-06,"Axis Mid Cap",-0.00237198269847916
71.27,2021-08-09,"Axis Mid Cap",-0.00321678321678327
71.07,2021-08-10,"Axis Mid Cap",-0.00280622983022314
70.43,2021-08-11,"Axis Mid Cap",-0.00900520613479649
