"nav","nav_date","fund_name"
"67.8136","2021-10-22","SBI Large Cap"
"67.6253","2021-10-25","SBI Large Cap"
"68.299","2021-10-26","SBI Large Cap"
"68.4241","2021-10-27","SBI Large Cap"
"67.2366","2021-10-28","SBI Large Cap"
"66.7934","2021-10-29","SBI Large Cap"
"67.8227","2021-11-01","SBI Large Cap"
"67.7439","2021-11-02","SBI Large Cap"
"67.6196","2021-11-03","SBI Large Cap"
"68.6438","2021-11-08","SBI Large Cap"
"68.675","2021-11-09","SBI Large Cap"
"68.6592","2021-11-10","SBI Large Cap"
"68.1533","2021-11-11","SBI Large Cap"
"68.9944","2021-11-12","SBI Large Cap"
"68.9861","2021-11-15","SBI Large Cap"
"68.7155","2021-11-16","SBI Large Cap"
"68.1462","2021-11-17","SBI Large Cap"
"67.487","2021-11-18","SBI Large Cap"
"66.1687","2021-11-22","SBI Large Cap"
"66.6855","2021-11-23","SBI Large Cap"
"66.3843","2021-11-24","SBI Large Cap"
"66.7267","2021-11-25","SBI Large Cap"
"64.7978","2021-11-26","SBI Large Cap"
"64.6509","2021-11-29","SBI Large Cap"
"64.5652","2021-11-30","SBI Large Cap"
"65.0158","2021-12-01","SBI Large Cap"
"65.7598","2021-12-02","SBI Large Cap"
"65.2252","2021-12-03","SBI Large Cap"
"64.2398","2021-12-06","SBI Large Cap"
"65.1678","2021-12-07","SBI Large Cap"
"66.1711","2021-12-08","SBI Large Cap"
"66.387","2021-12-09","SBI Large Cap"
"66.4609","2021-12-10","SBI Large Cap"
"66.1532","2021-12-13","SBI Large Cap"
"65.964","2021-12-14","SBI Large Cap"
"65.5893","2021-12-15","SBI Large Cap"
"65.4924","2021-12-16","SBI Large Cap"
"64.3132","2021-12-17","SBI Large Cap"
"62.6954","2021-12-20","SBI Large Cap"
"63.3564","2021-12-21","SBI Large Cap"
"64.1686","2021-12-22","SBI Large Cap"
"64.6104","2021-12-23","SBI Large Cap"
"64.3259","2021-12-24","SBI Large Cap"
"64.617","2021-12-27","SBI Large Cap"
"65.2529","2021-12-28","SBI Large Cap"
"65.2193","2021-12-29","SBI Large Cap"
"65.1266","2021-12-30","SBI Large Cap"
"65.8793","2021-12-31","SBI Large Cap"
"66.717","2022-01-03","SBI Large Cap"
"67.0699","2022-01-04","SBI Large Cap"
"67.3635","2022-01-05","SBI Large Cap"
"66.9208","2022-01-06","SBI Large Cap"
"67.1954","2022-01-07","SBI Large Cap"
"67.8155","2022-01-10","SBI Large Cap"
"68.1458","2022-01-11","SBI Large Cap"
"68.6508","2022-01-12","SBI Large Cap"
"68.721","2022-01-13","SBI Large Cap"
"68.7936","2022-01-14","SBI Large Cap"
"68.9208","2022-01-17","SBI Large Cap"
"68.0371","2022-01-18","SBI Large Cap"
"67.4226","2022-01-19","SBI Large Cap"
"66.9827","2022-01-20","SBI Large Cap"
"66.1331","2022-01-21","SBI Large Cap"
"64.3231","2022-01-24","SBI Large Cap"
"64.8604","2022-01-25","SBI Large Cap"
"64.3066","2022-01-27","SBI Large Cap"
"64.324","2022-01-28","SBI Large Cap"
"65.2512","2022-01-31","SBI Large Cap"
"66.1718","2022-02-01","SBI Large Cap"
"66.8002","2022-02-02","SBI Large Cap"
"66.148","2022-02-03","SBI Large Cap"
"65.8873","2022-02-04","SBI Large Cap"
"64.816","2022-02-07","SBI Large Cap"
"64.8439","2022-02-08","SBI Large Cap"
"65.6827","2022-02-09","SBI Large Cap"
"66.125","2022-02-10","SBI Large Cap"
"65.1988","2022-02-11","SBI Large Cap"
"63.1984","2022-02-14","SBI Large Cap"
"64.9236","2022-02-15","SBI Large Cap"
"64.9303","2022-02-16","SBI Large Cap"
"64.9128","2022-02-17","SBI Large Cap"
"64.6697","2022-02-18","SBI Large Cap"
"64.3442","2022-02-21","SBI Large Cap"
"63.918","2022-02-22","SBI Large Cap"
"63.9174","2022-02-23","SBI Large Cap"
"60.9817","2022-02-24","SBI Large Cap"
"62.6104","2022-02-25","SBI Large Cap"
"63.0538","2022-02-28","SBI Large Cap"
"62.2387","2022-03-02","SBI Large Cap"
"61.7803","2022-03-03","SBI Large Cap"
"60.8715","2022-03-04","SBI Large Cap"
"59.4466","2022-03-07","SBI Large Cap"
"60.0396","2022-03-08","SBI Large Cap"
"61.0808","2022-03-09","SBI Large Cap"
