NAV,Date
67.46,01-Jul-22
68.27,04-Jul-22
68.3,05-Jul-22
69.46,06-Jul-22
70.06,07-Jul-22
70.23,08-Jul-22
70.61,11-Jul-22
70.09,12-Jul-22
70.25,13-Jul-22
69.92,14-Jul-22
70.5,15-Jul-22
71.36,18-Jul-22
71.51,19-Jul-22
71.67,20-Jul-22
72.55,21-Jul-22
72.7,22-Jul-22
72.87,25-Jul-22
72.1,26-Jul-22
72.77,27-Jul-22
73.67,28-Jul-22
74.68,29-Jul-22
75.55,01-Aug-22
75.55,02-Aug-22
75.45,03-Aug-22
75.78,04-Aug-22
75.95,05-Aug-22
76.14,08-Aug-22
75.94,10-Aug-22
76.74,11-Aug-22
77.12,12-Aug-22
77.85,16-Aug-22
78.16,17-Aug-22
78.18,18-Aug-22
77.31,19-Aug-22
76.07,22-Aug-22
76.57,23-Aug-22
77,24-Aug-22
77.06,25-Aug-22
77.29,26-Aug-22
76.48,29-Aug-22
77.85,30-Aug-22
77.96,01-Sep-22
77.73,02-Sep-22
78.05,05-Sep-22
78.14,06-Sep-22
78.58,07-Sep-22
78.95,08-Sep-22
79.27,09-Sep-22
79.78,12-Sep-22
80.04,13-Sep-22
79.74,14-Sep-22
79.95,15-Sep-22
78,16-Sep-22
78.01,19-Sep-22
79.11,20-Sep-22
78.7,21-Sep-22
78.94,22-Sep-22
77.42,23-Sep-22
75.92,26-Sep-22
76.03,27-Sep-22
75.91,28-Sep-22
76.06,29-Sep-22
77.04,30-Sep-22
76.02,03-Oct-22
77.4,04-Oct-22
77.95,06-Oct-22
77.8,07-Oct-22
77.22,10-Oct-22
76.35,11-Oct-22
76.82,12-Oct-22
76.2,13-Oct-22
76.25,14-Oct-22
76.47,17-Oct-22
77.02,18-Oct-22
77.12,19-Oct-22
76.92,20-Oct-22
76.54,21-Oct-22
76.71,25-Oct-22
76.8,27-Oct-22
76.18,28-Oct-22
77.31,31-Oct-22
78.03,01-Nov-22
78.1,02-Nov-22
77.9,03-Nov-22
77.69,04-Nov-22
78.01,07-Nov-22
77.82,09-Nov-22
77.26,10-Nov-22
77.18,11-Nov-22
77.05,14-Nov-22
77.09,15-Nov-22
76.74,16-Nov-22
76.38,17-Nov-22
76.01,18-Nov-22
75.89,21-Nov-22
76.01,22-Nov-22
76.26,23-Nov-22
76.6,24-Nov-22
76.87,25-Nov-22
77.26,28-Nov-22
76.92,29-Nov-22
77.38,30-Nov-22
77.94,01-Dec-22
78.29,02-Dec-22
78.19,05-Dec-22
77.79,06-Dec-22
77.4,07-Dec-22
77.65,08-Dec-22
77.4,09-Dec-22
77.54,12-Dec-22
77.88,13-Dec-22
78.37,14-Dec-22
77.53,15-Dec-22
76.6,16-Dec-22
77.1,19-Dec-22
76.95,20-Dec-22
75.86,21-Dec-22
75.33,22-Dec-22
73.55,23-Dec-22
74.73,26-Dec-22
75.2,27-Dec-22
75.23,28-Dec-22
75.14,29-Dec-22
75.2,30-Dec-22
75.39,02-Jan-23
75.56,03-Jan-23
74.96,04-Jan-23
74.69,05-Jan-23
74.28,06-Jan-23
74.81,09-Jan-23
74.5,10-Jan-23
74.22,11-Jan-23
74.4,12-Jan-23
74.43,13-Jan-23
73.86,16-Jan-23
73.86,17-Jan-23
74.06,18-Jan-23
74.09,19-Jan-23
73.64,20-Jan-23
73.81,23-Jan-23
73.77,24-Jan-23
73.11,25-Jan-23
72.38,27-Jan-23
72.72,30-Jan-23
73.39,31-Jan-23
73.69,01-Feb-23
73.89,02-Feb-23
74.1,03-Feb-23
74.66,06-Feb-23
74.8,07-Feb-23
75.33,08-Feb-23
75.69,09-Feb-23
75.78,10-Feb-23
74.66,13-Feb-23
74.47,14-Feb-23
74.92,15-Feb-23
75.63,16-Feb-23
75.38,17-Feb-23
75.55,20-Feb-23
75.24,21-Feb-23
74.65,22-Feb-23
74.51,23-Feb-23
74.4,24-Feb-23
73.93,27-Feb-23
73.95,28-Feb-23
74.55,01-Mar-23
74.27,02-Mar-23
74.49,03-Mar-23
74.93,06-Mar-23
74.97,08-Mar-23
74.54,09-Mar-23
73.98,10-Mar-23
72.87,13-Mar-23
72.44,14-Mar-23
72.23,15-Mar-23
72.14,16-Mar-23
72.48,17-Mar-23
71.82,20-Mar-23
72.08,21-Mar-23
72.29,22-Mar-23
72.11,23-Mar-23
71.47,24-Mar-23
71.22,27-Mar-23
71.22,28-Mar-23
72.21,29-Mar-23
73,31-Mar-23
73.22,03-Apr-23
73.5,05-Apr-23
74.17,06-Apr-23
74.21,10-Apr-23
74.37,11-Apr-23
74.63,12-Apr-23
74.74,13-Apr-23
74.81,17-Apr-23
74.93,18-Apr-23
74.74,19-Apr-23
74.8,20-Apr-23
74.63,21-Apr-23
74.79,24-Apr-23
74.72,25-Apr-23
74.73,26-Apr-23
75.18,27-Apr-23
