NAV,Date
345.07,20-Feb-23
344.752,21-Feb-23
342.109,22-Feb-23
342.206,23-Feb-23
342.042,24-Feb-23
341.186,27-Feb-23
340.588,28-Feb-23
343.024,01-Mar-23
342.393,02-Mar-23
345.641,03-Mar-23
347.649,06-Mar-23
349.046,08-Mar-23
347.926,09-Mar-23
346.213,10-Mar-23
342.788,13-Mar-23
341.714,14-Mar-23
340.946,15-Mar-23
341.596,16-Mar-23
342.392,17-Mar-23
340.835,20-Mar-23
342.236,21-Mar-23
342.369,22-Mar-23
341.37,23-Mar-23
339.661,24-Mar-23
339.46,27-Mar-23
339.034,28-Mar-23
341.813,29-Mar-23
344.595,31-Mar-23
345.771,03-Apr-23
347.301,05-Apr-23
348.338,06-Apr-23
349.207,10-Apr-23
350.415,11-Apr-23
351.003,12-Apr-23
350.493,13-Apr-23
350.028,17-Apr-23
350.254,18-Apr-23
349.692,19-Apr-23
350.337,20-Apr-23
350.31,21-Apr-23
352.107,24-Apr-23
352.47,25-Apr-23
353.235,26-Apr-23
354.334,27-Apr-23
356.817,28-Apr-23
358.29,02-May-23
358.587,03-May-23
360.031,04-May-23
357.738,05-May-23
359.118,08-May-23
357.952,09-May-23
358.508,10-May-23
358.314,11-May-23
358.252,12-May-23
360.261,15-May-23
360.392,16-May-23
360.002,17-May-23
358.744,18-May-23
358.876,19-May-23
359.421,22-May-23
359.894,23-May-23
359.703,24-May-23
359.859,25-May-23
361.112,26-May-23
362.812,29-May-23
363.439,30-May-23
362.993,31-May-23
362.278,01-Jun-23
363.597,02-Jun-23
364.752,05-Jun-23
365.269,06-Jun-23
366.901,07-Jun-23
366.303,08-Jun-23
366.388,09-Jun-23
367.939,12-Jun-23
368.866,13-Jun-23
368.57,14-Jun-23
367.971,15-Jun-23
369.979,16-Jun-23
370.074,19-Jun-23
371.313,20-Jun-23
372.119,21-Jun-23
370.75,22-Jun-23
369.116,23-Jun-23
369.532,26-Jun-23
371.457,27-Jun-23
373.515,28-Jun-23
375.621,30-Jun-23
377.65,03-Jul-23
377.936,04-Jul-23
378.465,05-Jul-23
380.282,06-Jul-23
379.3,07-Jul-23
379.279,10-Jul-23
381.366,11-Jul-23
380.98,12-Jul-23
380.147,13-Jul-23
381.386,14-Jul-23
383.021,17-Jul-23
382.799,18-Jul-23
384.763,19-Jul-23
386.333,20-Jul-23
385.572,21-Jul-23
387.088,24-Jul-23
387.5,25-Jul-23
388.942,26-Jul-23
389.42,27-Jul-23
389.962,28-Jul-23
393.032,31-Jul-23
394.185,01-Aug-23
390.749,02-Aug-23
390.084,03-Aug-23
390.554,04-Aug-23
392.176,07-Aug-23
392.625,08-Aug-23
393.614,09-Aug-23
392.762,10-Aug-23
391.661,11-Aug-23
391.542,14-Aug-23
393.416,16-Aug-23
393.462,17-Aug-23
392.694,18-Aug-23
394.338,21-Aug-23
395.214,22-Aug-23
396.761,23-Aug-23
396.435,24-Aug-23
394.707,25-Aug-23
396.266,28-Aug-23
396.868,29-Aug-23
396.83,30-Aug-23
396.01,31-Aug-23
398.597,01-Sep-23
401.566,04-Sep-23
402.634,05-Sep-23
402.08,06-Sep-23
406.118,07-Sep-23
409.974,08-Sep-23
411.873,11-Sep-23
406.318,12-Sep-23
408.069,13-Sep-23
409.303,14-Sep-23
410.113,15-Sep-23
410.351,18-Sep-23
409.34,20-Sep-23
406.863,21-Sep-23
